Technology Type,Fuel Type,Region,ISP Sub-region,REZ Location,Cost Region,Summer Rating (% of nameplate),Not Summer Rating (% of nameplate),Maintenance (% of time out),Equivalent average days per year on planned outage ,2020-21 Step Change Build Cost ($/kW),Connection Cost ($/kW),Lead Time (yrs),Economic Life (yrs),Technical Life (yrs),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),2021-22 Step Change Fuel Cost ($/GJ),Emissions (kg/MWh),Auxiliary Load (%),SRMC ($/MWh),,,,,,
Black Coal (advanced ultra supercritical PC),Black Coal,QLD,SQ,N/A,QLD Low,98,100.625,2.876712329,10.5,4614.65,103.3333333,7,30,50,55.15314685,4.36577,8.822916667,2.859198419,728.34377,4,29.59223939,,,,,,
Black Coal (advanced ultra supercritical PC),Black Coal,QLD,CNQ,N/A,QLD Low,98,101,3,10.5,4614.65,103.3333333,7,30,50,55.15314685,4.36577,8.822916667,2.378625399,728.34377,4,25.35218368,,,,,,
Black Coal (advanced ultra supercritical PC),Black Coal,NSW,CNSW,N/A,NSW Low,98,101,3,10.5,4614.65,80,7,30,50,55.15314685,4.36577,8.822916667,2.789303638,728.34377,4,28.97556356,,,,,,
Black Coal (advanced ultra supercritical PC),Black Coal,NSW,SNW,N/A,NSW Low,97.86458333,100.625,2.876712329,10.5,4614.65,80,7,30,50,55.15314685,4.36577,8.822916667,2.789303638,728.34377,4,28.97556356,,,,,,
Black Coal (advanced ultra supercritical PC) with CCS,Black Coal,QLD,SQ,N/A,QLD Low,97.81927711,100.2771084,2.876712329,10.5,9655.507,103.3333333,7,30,50,80.65629371,8.24415,14.32168675,2.859198419,76.516619,17,49.19269411,,,,,,
Black Coal (advanced ultra supercritical PC) with CCS,Black Coal,QLD,CNQ,N/A,QLD Low,98,100,3,10.5,9655.507,103.3333333,7,30,50,80.65629371,8.24415,14.32168675,2.378625399,76.516619,17,42.31007786,,,,,,
Black Coal (advanced ultra supercritical PC) with CCS,Black Coal,NSW,CNSW,N/A,NSW Low,97.81927711,100.2771084,2.876712329,10.5,9655.507,80,7,30,50,80.65629371,8.24415,14.32168675,2.789303638,76.516619,17,48.19168294,,,,,,
Black Coal (advanced ultra supercritical PC) with CCS,Black Coal,NSW,SNW,N/A,NSW Low,97.81927711,100.2771084,2.876712329,10.5,9655.507,80,7,30,50,80.65629371,8.24415,14.32168675,2.789303638,76.516619,17,48.19168294,,,,,,
OCGT (small GT),Gas,QLD,CNQ,N/A,QLD Low,98,111,1,3,1519.205,103.3333333,2,25,40,13.06258741,4.2517,10.19023398,10.25732159,532.393533,1.7,108.7762069,,,,,,
OCGT (small GT),Gas,QLD,GG,N/A,QLD Low,98,111,1,3,1519.205,103.3333333,2,25,40,13.06258741,4.2517,10.19023398,10.25732159,532.393533,1.7,108.7762069,,,,,,
