Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Butlers Gorge Power Station,8.599998,TAS1,2022-08-30T04:05:00+0000,57.33,59.72,15,14.4,,14.4,1,Hydro-Electric Corporation,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,BUTLERSG,-42.26689751,146.2617581
Capital Wind Farm,123.991997,NSW1,2022-08-30T04:05:00+0000,88.57,88.57,140,140,,2,Jan-67,Iberdrola Australia Holdings Pty Limited,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,CAPTL_WF,-35.166308,149.518477
Cathedral Rocks,0,SA1,2022-08-30T04:05:00+0000,0,0,66,66,14,2,Jan-33,Cathedral Rocks Wind Farm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,CATHROCK,-34.850861,135.585172
Challicum Hills Wind Farm,39.299999,VIC1,2022-08-30T04:05:00+0000,75.58,74.86,52,52.5,0,1.5,Jan-35,Pacific Hydro Challicum Hills Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,CHALLHWF,-37.38978902,143.1139711
Clover Power Station,13.41,VIC1,2022-08-30T04:05:00+0000,46.24,46.24,29,29,0,14.5,1-Feb,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,CLOVER,-36.785281,147.220466
Cluny Power Station,12.239414,TAS1,2022-08-30T04:05:00+0000,55.63,64.42,22,19,,19,1,Hydro-Electric Corporation,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,CLUNY,-42.50642303,146.6811623
Canunda Wind Farm,0,SA1,2022-08-30T04:05:00+0000,0,0,46,46,10,2,Jan-23,Canunda Power Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,CNUNDAWF,-37.76025336,140.4033113
Cullerin Range Wind Farm,28.42,NSW1,2022-08-30T04:05:00+0000,94.73,94.73,30,30,,2,Jan-15,Cullerin Range Wind Farm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,CULLRGWF,-34.80498162,149.4001296
Eraring Power Station,0,NSW1,2022-08-30T04:05:00+0000,0,0,56,41.5,0,41.5,1,Origin Energy Electricity Limited,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),N,ERGT01,-33.06174875,151.5223301
Broken Hill Gas Turbines,0,NSW1,2022-08-30T04:05:00+0000,0,0,50,50,0,25,1-Feb,NSW Electricity Networks Operations Pty Ltd as a Trustee for the NSW Electricity Networks Operations Trust,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),N,GB01,-31.986296,141.420334
